date,opportunity_id,product_area,active_accounts,pricing_recommendations,adoption_rate,override_rate,explainability_open_rate,approval_latency_hours,manual_export_count,data_freshness_score
2026-01-01,OPP-001,Lease and renewal pricing,47,371,0.6,0.274,0.617,21.1,6,0.974
2026-01-01,OPP-002,Public market intelligence,44,298,0.544,0.21,0.408,27.8,19,0.99
2026-01-01,OPP-003,Amenities and specials,55,194,0.568,0.189,0.474,24.1,8,0.886
2026-01-01,OPP-004,Amenities and specials,37,308,0.438,0.277,0.411,22.1,9,0.848
2026-01-01,OPP-005,Reporting,65,287,0.505,0.2,0.696,34.1,36,0.863
2026-01-01,OPP-006,Implementation readiness,67,490,0.509,0.303,0.877,35.7,16,0.903
2026-01-01,OPP-007,Security and privacy,31,214,0.472,0.329,0.563,34.5,7,0.89
2026-01-01,OPP-008,AI insights,67,356,0.624,0.132,0.466,31.4,32,0.877
2026-01-02,OPP-001,Lease and renewal pricing,53,118,0.696,0.255,0.525,32.9,4,0.97
2026-01-02,OPP-002,Public market intelligence,40,153,0.615,0.217,0.675,31.4,33,0.903
2026-01-02,OPP-003,Amenities and specials,66,330,0.585,0.199,0.587,19.7,33,0.914
2026-01-02,OPP-004,Amenities and specials,32,346,0.557,0.287,0.282,46.6,19,0.934
2026-01-02,OPP-005,Reporting,51,466,0.575,0.248,0.397,14.6,11,0.902
2026-01-02,OPP-006,Implementation readiness,25,384,0.558,0.214,0.652,18.0,13,0.924
2026-01-02,OPP-007,Security and privacy,33,174,0.495,0.236,0.654,16.2,38,0.898
2026-01-02,OPP-008,AI insights,39,367,0.491,0.244,0.561,24.3,20,0.858
2026-01-03,OPP-001,Lease and renewal pricing,21,494,0.696,0.276,0.711,35.6,23,0.944
2026-01-03,OPP-002,Public market intelligence,25,471,0.598,0.235,0.582,32.0,15,0.91
2026-01-03,OPP-003,Amenities and specials,32,239,0.562,0.288,0.706,17.2,11,0.954
2026-01-03,OPP-004,Amenities and specials,54,438,0.573,0.224,0.563,25.4,9,0.99
2026-01-03,OPP-005,Reporting,39,274,0.482,0.204,0.675,34.8,4,0.87
2026-01-03,OPP-006,Implementation readiness,66,125,0.555,0.24,0.558,28.0,6,0.816
2026-01-03,OPP-007,Security and privacy,23,361,0.496,0.217,0.607,15.8,15,0.934
2026-01-03,OPP-008,AI insights,42,397,0.527,0.257,0.759,25.0,7,0.801
2026-01-04,OPP-001,Lease and renewal pricing,49,492,0.544,0.215,0.518,27.6,33,0.872
2026-01-04,OPP-002,Public market intelligence,46,335,0.569,0.26,0.493,9.4,24,0.813
2026-01-04,OPP-003,Amenities and specials,44,272,0.596,0.233,0.488,37.9,8,0.82
2026-01-04,OPP-004,Amenities and specials,23,446,0.557,0.219,0.564,19.4,18,0.952
2026-01-04,OPP-005,Reporting,39,456,0.592,0.384,0.778,29.9,32,0.99
2026-01-04,OPP-006,Implementation readiness,59,91,0.586,0.281,0.626,25.5,19,0.882
2026-01-04,OPP-007,Security and privacy,57,439,0.487,0.184,0.639,17.7,16,0.845
2026-01-04,OPP-008,AI insights,34,90,0.622,0.144,0.804,4,31,0.816
2026-01-05,OPP-001,Lease and renewal pricing,51,292,0.586,0.124,0.445,26.3,16,0.898
2026-01-05,OPP-002,Public market intelligence,27,465,0.532,0.092,0.65,29.1,35,0.924
2026-01-05,OPP-003,Amenities and specials,26,227,0.487,0.12,0.559,20.1,33,0.975
2026-01-05,OPP-004,Amenities and specials,68,240,0.636,0.319,0.69,18.7,27,0.86
2026-01-05,OPP-005,Reporting,39,184,0.599,0.217,0.777,14.7,32,0.882
2026-01-05,OPP-006,Implementation readiness,26,287,0.575,0.142,0.357,25.9,19,0.937
2026-01-05,OPP-007,Security and privacy,25,267,0.538,0.173,0.471,47.3,23,0.977
2026-01-05,OPP-008,AI insights,31,154,0.58,0.182,0.511,9.3,31,0.888
2026-01-06,OPP-001,Lease and renewal pricing,31,160,0.644,0.172,0.403,38.2,9,0.93
2026-01-06,OPP-002,Public market intelligence,29,422,0.645,0.247,0.495,26.6,26,0.931
2026-01-06,OPP-003,Amenities and specials,21,211,0.557,0.206,0.557,38.0,9,0.837
2026-01-06,OPP-004,Amenities and specials,65,253,0.553,0.164,0.644,6.9,30,0.945
2026-01-06,OPP-005,Reporting,39,254,0.556,0.241,0.42,12.3,35,0.913
2026-01-06,OPP-006,Implementation readiness,18,519,0.615,0.107,0.261,24.7,18,0.879
2026-01-06,OPP-007,Security and privacy,53,133,0.491,0.126,0.393,34.0,4,0.912
2026-01-06,OPP-008,AI insights,28,159,0.681,0.213,0.479,33.5,24,0.916
2026-01-07,OPP-001,Lease and renewal pricing,32,512,0.602,0.228,0.607,27.0,13,0.907
